crash_date,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code_1,vehicle_type_code_2,crash_datetime,hour,month,month_name,day_of_week,is_weekend,is_fatal
2020-08-29,,,40.693436,-73.97784,SAINT EDWARDS STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4343063,Flat Bed,Sedan,2020-08-29 15:47:00,15,8,August,Saturday,True,False
2020-08-29,BRONX,10469.0,40.86091,-73.84428,,,1452 WARING AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4342689,Sedan,,2020-08-29 01:59:00,1,8,August,Saturday,True,False
2020-08-29,MANHATTAN,10037.0,40.81342,-73.93715,5 AVENUE,WEST 136 STREET,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Other Vehicular,4343622,Sedan,Sedan,2020-08-29 18:30:00,18,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11203.0,40.649475,-73.92395,,,5649 KINGS HIGHWAY,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4342960,Sedan,,2020-08-29 00:00:00,0,8,August,Saturday,True,False
2020-08-29,,,40.69982,-73.996254,BROOKLYN QUEENS EXPRESSWAY,,,1,0,0,0,0,0,1,0,Fell Asleep,,4342834,Sedan,,2020-08-29 09:50:00,9,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11207.0,40.688393,-73.91025,,,126 COVERT STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4343532,Sedan,Sedan,2020-08-29 02:34:00,2,8,August,Saturday,True,False
2020-08-29,MANHATTAN,10016.0,40.749725,-73.98363,EAST 36 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,4343006,Sedan,Sedan,2020-08-29 11:34:00,11,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11237.0,40.693657,-73.907425,,,1292 HALSEY STREET,2,0,0,0,0,0,2,0,Driver Inexperience,Unspecified,4343516,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 12:18:00,12,8,August,Saturday,True,False
2020-08-29,,,,,HARLEM RIVER DRIVE RAMP,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4343053,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 21:50:00,21,8,August,Saturday,True,False
2020-08-29,,,40.81344,-73.94135,WEST 134 STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4343180,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,2020-08-29 13:15:00,13,8,August,Saturday,True,False
2020-08-29,MANHATTAN,10037.0,40.812897,-73.93548,,,2190 MADISON AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4343339,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 23:50:00,23,8,August,Saturday,True,False
2020-08-29,BRONX,10451.0,40.818012,-73.92519,EAST 149 STREET,PARK AVENUE,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,4343141,Taxi,Station Wagon/Sport Utility Vehicle,2020-08-29 14:50:00,14,8,August,Saturday,True,False
2020-08-29,,,,,PROSPECT EXPRESSWAY RAMP,,,1,0,0,0,0,0,1,0,Unspecified,,4342699,Station Wagon/Sport Utility Vehicle,,2020-08-29 05:40:00,5,8,August,Saturday,True,False
2020-08-29,BRONX,10460.0,40.843548,-73.87031,MORRIS PARK AVENUE,TAYLOR AVENUE,,1,0,0,0,1,0,0,0,Other Vehicular,Driver Inattention/Distraction,4342686,E-Bike,,2020-08-29 00:50:00,0,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11213.0,40.668648,-73.92835,EASTERN PARKWAY,ROCHESTER AVENUE,,2,0,0,0,0,0,2,0,Passing Too Closely,Unspecified,4342970,Sedan,Sedan,2020-08-29 21:50:00,21,8,August,Saturday,True,False
2020-08-29,QUEENS,11375.0,40.72657,-73.85265,67 ROAD,QUEENS BOULEVARD,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4342706,Taxi,Taxi,2020-08-29 05:28:00,5,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11234.0,40.618317,-73.923904,,,1640 EAST 53 STREET,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,4343243,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 07:30:00,7,8,August,Saturday,True,False
2020-08-29,QUEENS,11385.0,40.70969,-73.921585,,,1710 FLUSHING AVENUE,0,0,0,0,0,0,0,0,Unspecified,,4342887,Pick-up Truck,,2020-08-29 10:00:00,10,8,August,Saturday,True,False
2020-08-29,,,40.693436,-73.97784,SAINT EDWARDS STREET,,,0,0,0,0,0,0,0,0,Unspecified,,4342971,Station Wagon/Sport Utility Vehicle,,2020-08-29 13:15:00,13,8,August,Saturday,True,False
2020-08-29,QUEENS,11373.0,40.735123,-73.87524,,,88-01 QUEENS BOULEVARD,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,4343000,Sedan,,2020-08-29 14:15:00,14,8,August,Saturday,True,False
2020-08-29,,,40.839478,-73.883896,BOSTON ROAD,VYSE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,4343218,,,2020-08-29 19:45:00,19,8,August,Saturday,True,False
2020-08-29,QUEENS,11366.0,40.7307,-73.790855,73 AVENUE,179 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4342702,Sedan,Sedan,2020-08-29 09:45:00,9,8,August,Saturday,True,False
2020-08-29,BRONX,10469.0,40.869762,-73.83677,,,2913 BRUNER AVENUE,0,0,0,0,0,0,0,0,Unspecified,,4342917,Station Wagon/Sport Utility Vehicle,,2020-08-29 10:52:00,10,8,August,Saturday,True,False
2020-08-29,,,40.63562,-74.135056,,,252 PORT RICHMOND AVENUE,0,0,0,0,0,0,0,0,Unspecified,,4343563,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 15:45:00,15,8,August,Saturday,True,False
2020-08-29,,,40.66003,-73.92179,EAST 95 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4342959,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 00:29:00,0,8,August,Saturday,True,False
